 # h,   A_T,    A_S
0.63579125000000E+02  0.10422217676228E+06  0.10438515759680E+06
0.31789562500000E+02  0.10434501444680E+06  0.10438596034164E+06
0.15894781250000E+02  0.10437576325370E+06  0.10438601285600E+06
0.79473906250000E+01  0.10438345294809E+06  0.10438601617956E+06
0.39736953125000E+01  0.10438537552799E+06  0.10438601638795E+06
0.19868476562500E+01  0.10438585618274E+06  0.10438601640099E+06
0.99342382812500E+00  0.10438597634704E+06  0.10438601640180E+06
0.49671191406250E+00  0.10438600638815E+06  0.10438601640185E+06
0.24835595703125E+00  0.10438601389843E+06  0.10438601640186E+06
0.12417797851562E+00  0.10438601577600E+06  0.10438601640186E+06
0.62088989257812E-01  0.10438601624539E+06  0.10438601640186E+06
0.31044494628906E-01  0.10438601636274E+06  0.10438601640186E+06
0.15522247314453E-01  0.10438601639208E+06  0.10438601640186E+06
0.77611236572266E-02  0.10438601639941E+06  0.10438601640186E+06
0.38805618286133E-02  0.10438601640125E+06  0.10438601640186E+06
0.19402809143066E-02  0.10438601640170E+06  0.10438601640186E+06
0.97014045715332E-03  0.10438601640182E+06  0.10438601640186E+06
0.48507022857666E-03  0.10438601640185E+06  0.10438601640185E+06
0.24253511428833E-03  0.10438601640185E+06  0.10438601640186E+06
 
 
 # h,   A_m,    Error
0.63579125000000E+02  0.10438596034164E+06  0.56060213770252E-01
0.31789562500000E+02  0.10438601285600E+06  0.35458574711811E-02
0.15894781250000E+02  0.10438601617956E+06  0.22229747264646E-03
0.79473906250000E+01  0.10438601638795E+06  0.13904311344959E-04
0.39736953125000E+01  0.10438601640099E+06  0.86924410425127E-06
0.19868476562500E+01  0.10438601640180E+06  0.54424162954092E-07
0.99342382812500E+00  0.10438601640185E+06  0.32159732654691E-08
0.49671191406250E+00  0.10438601640186E+06  0.42200554162264E-09
0.24835595703125E+00  0.10438601640186E+06  0.37834979593754E-09
0.12417797851562E+00  0.10438601640186E+06  0.29103830456734E-09
0.62088989257812E-01  0.10438601640186E+06  0.69849193096161E-09
0.31044494628906E-01  0.10438601640186E+06  0.84401108324528E-09
0.15522247314453E-01  0.10438601640186E+06  0.37834979593754E-09
0.77611236572266E-02  0.10438601640186E+06  0.84401108324528E-09
0.38805618286133E-02  0.10438601640185E+06  0.28521753847599E-08
0.19402809143066E-02  0.10438601640185E+06  0.34633558243513E-08
0.97014045715332E-03  0.10438601640186E+06  0.13242242857814E-08
0.48507022857666E-03  0.10438601640186E+06  0.59662852436304E-09
